PinskyID	date	sex	total_length_cm	maturity	collector	lat	lon	dist	depth	bottom_temp	bottom_salin	bayenv_pop
PADE_14185L1512	9/27/14	male	45.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.2875	-73.8893	1359.795931	34.19	20.01	32.333	3
PADE_14186L1421	9/27/14	male	42	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.2875	-73.8893	1359.795931	34.19	20.01	32.333	3
PADE_14187L1513	9/27/14	female	44.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.2875	-73.8893	1359.795931	34.19	20.01	32.333	3
PADE_14188L1422	9/27/14	male	38	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	38.86617	-73.9728	1315.315409	42.72	17.63	33.53	3
PADE_14190L1423	9/29/14	male	47	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.65117	-73.0868	1429.256069	43.84	14.5	33.515	3
PADE_14191L1514	9/29/14	male	45.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.65117	-73.0868	1429.256069	43.84	14.5	33.515	3
PADE_14192L1583	9/29/14	male	36	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.65117	-73.0868	1429.256069	43.84	14.5	33.515	3
PADE_14193L1424	9/29/14	male	43	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.65117	-73.0868	1429.256069	43.84	14.5	33.515	3
PADE_14194L1425	9/29/14	male	45	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.65117	-73.0868	1429.256069	43.84	14.5	33.515	3
PADE_14195L1515	9/30/14	female	54	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.911	-73.0792	1454.469879	67.13	12.15	33.652	3
PADE_14196L1426	9/30/14	male	50.5	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.911	-73.0792	1454.469879	67.13	12.15	33.652	3
PADE_14197L1584	9/30/14	male	42.5	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.86383	-73.0025	1453.280204	72.55	12.02	33.628	3
PADE_14198L1516	9/30/14	male	44.5	Resting	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.86383	-73.0025	1453.280204	72.55	12.02	33.628	3
PADE_14199L1427	9/30/14	male	46	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.86383	-73.0025	1453.280204	72.55	12.02	33.628	3
PADE_14200L1517	10/1/14	male	51.5	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.5695	-70.7705	1623.744416	71.05	14.41	34.389	2
PADE_14201L1518	10/1/14	female	50.5	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.5695	-70.7705	1623.744416	71.05	14.41	34.389	2
PADE_14206L1519	10/8/14	female	55	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.002	-70.464	1677.833628	43.24	17.02	33.342	1
PADE_14207L1585	10/8/14	male	44.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.002	-70.464	1677.833628	43.24	17.02	33.342	1
PADE_14208L1520	10/8/14	male	39	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.002	-70.464	1677.833628	43.24	17.02	33.342	1
PADE_14209L1521	10/8/14	male	37.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.002	-70.464	1677.833628	43.24	17.02	33.342	1
PADE_14210L1522	10/8/14	female	49.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.002	-70.464	1677.833628	43.24	17.02	33.342	1
PADE_14211L1428	10/8/14	male	40	Resting	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.9485	-70.2815	1682.209461	38.51	16.41	32.678	1
PADE_14212L1523	10/8/14	female	53.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.9485	-70.2815	1682.209461	38.51	16.41	32.678	1
PADE_14213L1586	10/8/14	female	56	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.6625	-70.0165	1670.656223	49.3	16.2	33.043	1
PADE_14214L1429	10/8/14	male	54.5	Ripe & Running	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.76967	-69.7298	1695.084499	38.93	15.91	32.819	1
PADE_14215L1430	10/8/14	male	53	Spent	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.76967	-69.7298	1695.084499	38.93	15.91	32.819	1
PADE_14216L1431	10/8/14	female	66.5	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.76967	-69.7298	1695.084499	38.93	15.91	32.819	1
PADE_14217L1432	10/8/14	male	50	Spent	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.76967	-69.7298	1695.084499	38.93	15.91	32.819	1
PADE_14218L1524	10/8/14	male	46	Spent	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.71967	-69.7415	1690.137399	45.46	17.17	33.484	1
PADE_14219L1525	10/8/14	female	49	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.7155	-69.7543	1689.096836	45.02	17.17	33.484	1
PADE_14220L1433	10/8/14	male	42	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.7155	-69.7543	1689.096836	45.02	17.17	33.484	1
PADE_14221L1434	10/8/14	male	45.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.7155	-69.7543	1689.096836	45.02	17.17	33.484	1
PADE_14222L1435	10/8/14	male	44	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.7155	-69.7543	1689.096836	45.02	17.17	33.484	1
PADE_14223L1526	10/8/14	female	50.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.3515	-69.4403	1675.032165	73.91	15.26	33.673	1
PADE_14224L1436	10/9/14	male	43	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.40933	-69.8732	1656.327953	76.9	14.65	33.976	1
PADE_14225L1587	10/9/14	female	45	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.40933	-69.8732	1656.327953	76.9	14.65	33.976	1
PADE_14226L1527	10/9/14	female	53.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.40933	-69.8732	1656.327953	76.9	14.65	33.976	1
PADE_14227L1437	10/9/14	female	61	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.32967	-70.2008	1631.948688	85.37	14.01	34.029	1
PADE_14228L1438	10/11/14	male	56.5	Spent	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.85383	-68.2205	1785.43104	52.05	15.27	32.986	1
PADE_14229L1528	10/11/14	female	76.5	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.85383	-68.2205	1785.43104	52.05	15.27	32.986	1
PADE_14239L1533	10/11/14	male	52.5	Spent	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.78917	-68.409	1769.377676	57.72	16.28	32.657	1
PADE_14240L1534	10/12/14	male	45	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.575	-68.8032	1729.359587	67.37	16.94	34.155	1
PADE_14241L1443	10/12/14	male	47.5	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.575	-68.8032	1729.359587	67.37	16.94	34.155	1
PADE_14242L1535	10/12/14	male	38	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.81717	-69.0158	1737.725655	75.6	16.01	33.256	1
PADE_14243L1589	10/12/14	female	64	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.81717	-69.0158	1737.725655	75.6	16.01	33.256	1
PADE_14244L1536	10/12/14	male	50.5	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.81717	-69.0158	1737.725655	75.6	16.01	33.256	1
PADE_14245L1444	10/12/14	female	64.5	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.81717	-69.0158	1737.725655	75.6	16.01	33.256	1
PADE_14246L1537	10/12/14	female	62	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.86333	-68.7913	1754.018226	66.36	16.21	32.838	1
PADE_14247L1538	10/12/14	female	54	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.86333	-68.7913	1754.018226	66.36	16.21	32.838	1
PADE_14248L1590	10/12/14	female	76	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.86333	-68.7913	1754.018226	66.36	16.21	32.838	1
PADE_14249L1539	10/13/14	female	55	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.9735	-68.0578	1804.506534	53.29	16.38	32.7	1
PADE_14250L1445	10/13/14	male	46	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.9735	-68.0578	1804.506534	53.29	16.38	32.7	1
PADE_14251L1540	10/16/14	female	68	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.337	-67.7327	1852.690501	40.65	17.45	32.66	1
PADE_14252L1541	10/16/14	female	45.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.337	-67.7327	1852.690501	40.65	17.45	32.66	1
PADE_14253L1446	10/16/14	male	49	Spent	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.337	-67.7327	1852.690501	40.65	17.45	32.66	1
PADE_14254L1542	10/18/14	male	50	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.55133	-66.8945	1918.277629	66.56	15.39	32.886	1
